id;sentencas;documento
1;['A produção industrial brasileira cresceu 1,5% no primeiro trimestre de 2026, impulsionada pelo setor automotivo e de máquinas pesadas.', 'O resultado superou as expectativas dos analistas de mercado.'];A produção industrial brasileira cresceu 1,5% no primeiro trimestre de 2026, impulsionada pelo setor automotivo e de máquinas pesadas. O resultado superou as expectativas dos analistas de mercado.
2;['A nova fábrica de semicondutores instalada no polo tecnológico de Campinas anunciou um investimento de 500 milhões de reais para expandir sua linha de montagem e atender a demanda de chips automotivos.'];A nova fábrica de semicondutores instalada no polo tecnológico de Campinas anunciou um investimento de 500 milhões de reais para expandir sua linha de montagem e atender a demanda de chips automotivos.
3;['A exportação de aço nacional registreu recorde no mês passado, com forte demanda vinda de parceiros comerciais na Europa e na Ásia.', 'O setor siderúrgico projeta novos investimentos em modernização.'];A exportação de aço nacional registreu recorde no mês passado, com forte demanda vinda de parceiros comerciais na Europa e na Ásia. O setor siderúrgico projeta novos investimentos em modernização.
4;['A indústria têxtil nacional investiu em automação industrial para reduzir custos operacionais e competir com os produtos importados.', 'Novas máquinas de fiação digital foram adquiridas pelas principais empresas do setor.'];A indústria têxtil nacional investiu em automação industrial para reduzir custos operacionais e competir com os produtos importados. Novas máquinas de fiação digital foram adquiridas pelas principais empresas do setor.
5;['O governo federal anunciou uma nova linha de crédito subsidiado para a digitalização de pequenas e médias indústrias.', 'O programa visa aumentar a produtividade fabril por meio da adoção de tecnologias da Indústria 4.0.'];O governo federal anunciou uma nova linha de crédito subsidiado para a digitalização de pequenas e médias indústrias. O programa visa aumentar a produtividade fabril por meio da adoção de tecnologias da Indústria 4.0.
6;['A produção de veículos elétricos no país ganhou um novo incentivo fiscal com a redução do IPI para montadoras que utilizarem componentes fabricados localmente.', 'A medida visa fortalecer a cadeia de suprimentos nacional.'];A produção de veículos elétricos no país ganhou um novo incentivo fiscal com a redução do IPI para montadoras que utilizarem componentes fabricados localmente. A medida visa fortalecer a cadeia de suprimentos nacional.
7;['A indústria química registrou uma queda de 2% no faturamento devido ao aumento dos custos das matérias-primas importadas.', 'O setor busca alternativas locais para o fornecimento de insumos básicos.'];A indústria química registrou uma queda de 2% no faturamento devido ao aumento dos custos das matérias-primas importadas. O setor busca alternativas locais para o fornecimento de insumos básicos.
8;['Uma multinacional de máquinas agrícolas inaugurou uma nova ala de montagem no Rio Grande do Sul.', 'O projeto gerou trezentos novos empregos diretos e pretende abastecer o mercado da América Latina.'];Uma multinacional de máquinas agrícolas inaugurou uma nova ala de montagem no Rio Grande do Sul. O projeto gerou trezentos novos empregos diretos e pretende abastecer o mercado da América Latina.
9;['O consumo de energia elétrica na indústria cresceu pelo quarto mês consecutivo, sinalizando uma retomada firme das atividades fabris após o período de manutenção programada das grandes usinas.'];O consumo de energia elétrica na indústria cresceu pelo quarto mês consecutivo, sinalizando uma retomada firme das atividades fabris após o período de manutenção programada das grandes usinas.
10;['Consórcios de empresas privadas fecharam parcerias com universidades para criar centros de pesquisa voltados para a descarbonização industrial.', 'O foco inicial será a substituição de combustíveis fósseis por hidrogênio verde.'];Consórcios de empresas privadas fecharam parcerias com universidades para criar centros de pesquisa voltados para a descarbonização industrial. O foco inicial será a substituição de combustíveis fósseis por hidrogênio verde.
