Sentença	Id	Index	Granularidade	Documento
A produção industrial brasileira cresceu 1,5% no primeiro trimestre de 2026, impulsionada pelo setor automotivo e de máquinas pesadas.	1	0	0	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
O resultado superou as expectativas dos analistas de mercado.	1	1	0	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
0	1	-1	1	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
A nova fábrica de semicondutores instalada no polo tecnológico de Campinas anunciou um investimento de 500 milhões de reais para expandir sua linha de montagem e atender a demanda de chips automotivos.	2	0	0	A nova fábrica de semicondutores instalada no polo tecnológico de Campinas anunciou um investimento de 500 milhões de reais para expandir sua linha de montagem e atender a demanda de chips automotivos .
1	2	-1	1	A nova fábrica de semicondutores instalada no polo tecnológico de Campinas anunciou um investimento de 500 milhões de reais para expandir sua linha de montagem e atender a demanda de chips automotivos .
A exportação de aço nacional registreu recorde no mês passado, com forte demanda vinda de parceiros comerciais na Europa e na Ásia.	3	0	0	A exportação de aço nacional registreu recorde no mês passado , com forte demanda vinda de parceiros comerciais na Europa e na Ásia . O setor siderúrgico projeta novos investimentos em modernização .
O setor siderúrgico projeta novos investimentos em modernização.	3	1	0	A exportação de aço nacional registreu recorde no mês passado , com forte demanda vinda de parceiros comerciais na Europa e na Ásia . O setor siderúrgico projeta novos investimentos em modernização .
2	3	-1	1	A exportação de aço nacional registreu recorde no mês passado , com forte demanda vinda de parceiros comerciais na Europa e na Ásia . O setor siderúrgico projeta novos investimentos em modernização .
A indústria têxtil nacional investiu em automação industrial para reduzir custos operacionais e competir com os produtos importados.	4	0	0	A indústria têxtil nacional investiu em automação industrial para reduzir custos operacionais e competir com os produtos importados . Novas máquinas de fiação digital foram adquiridas pelas principais empresas do setor .
Novas máquinas de fiação digital foram adquiridas pelas principais empresas do setor.	4	1	0	A indústria têxtil nacional investiu em automação industrial para reduzir custos operacionais e competir com os produtos importados . Novas máquinas de fiação digital foram adquiridas pelas principais empresas do setor .
3	4	-1	1	A indústria têxtil nacional investiu em automação industrial para reduzir custos operacionais e competir com os produtos importados . Novas máquinas de fiação digital foram adquiridas pelas principais empresas do setor .
O governo federal anunciou uma nova linha de crédito subsidiado para a digitalização de pequenas e médias indústrias.	5	0	0	O governo federal anunciou uma nova linha de crédito subsidiado para a digitalização de pequenas e médias indústrias . O programa visa aumentar a produtividade fabril por meio da adoção de tecnologias da Indústria 4.0 .
O programa visa aumentar a produtividade fabril por meio da adoção de tecnologias da Indústria 4.0.	5	1	0	O governo federal anunciou uma nova linha de crédito subsidiado para a digitalização de pequenas e médias indústrias . O programa visa aumentar a produtividade fabril por meio da adoção de tecnologias da Indústria 4.0 .
4	5	-1	1	O governo federal anunciou uma nova linha de crédito subsidiado para a digitalização de pequenas e médias indústrias . O programa visa aumentar a produtividade fabril por meio da adoção de tecnologias da Indústria 4.0 .
A produção de veículos elétricos no país ganhou um novo incentivo fiscal com a redução do IPI para montadoras que utilizarem componentes fabricados localmente.	6	0	0	A produção de veículos elétricos no país ganhou um novo incentivo fiscal com a redução do IPI para montadoras que utilizarem componentes fabricados localmente . A medida visa fortalecer a cadeia de suprimentos nacional .
A medida visa fortalecer a cadeia de suprimentos nacional.	6	1	0	A produção de veículos elétricos no país ganhou um novo incentivo fiscal com a redução do IPI para montadoras que utilizarem componentes fabricados localmente . A medida visa fortalecer a cadeia de suprimentos nacional .
5	6	-1	1	A produção de veículos elétricos no país ganhou um novo incentivo fiscal com a redução do IPI para montadoras que utilizarem componentes fabricados localmente . A medida visa fortalecer a cadeia de suprimentos nacional .
A indústria química registrou uma queda de 2% no faturamento devido ao aumento dos custos das matérias-primas importadas.	7	0	0	A indústria química registrou uma queda de 2 % no faturamento devido ao aumento dos custos das matérias-primas importadas . O setor busca alternativas locais para o fornecimento de insumos básicos .
O setor busca alternativas locais para o fornecimento de insumos básicos.	7	1	0	A indústria química registrou uma queda de 2 % no faturamento devido ao aumento dos custos das matérias-primas importadas . O setor busca alternativas locais para o fornecimento de insumos básicos .
6	7	-1	1	A indústria química registrou uma queda de 2 % no faturamento devido ao aumento dos custos das matérias-primas importadas . O setor busca alternativas locais para o fornecimento de insumos básicos .
Uma multinacional de máquinas agrícolas inaugurou uma nova ala de montagem no Rio Grande do Sul.	8	0	0	Uma multinacional de máquinas agrícolas inaugurou uma nova ala de montagem no Rio Grande do Sul . O projeto gerou trezentos novos empregos diretos e pretende abastecer o mercado da América Latina .
O projeto gerou trezentos novos empregos diretos e pretende abastecer o mercado da América Latina.	8	1	0	Uma multinacional de máquinas agrícolas inaugurou uma nova ala de montagem no Rio Grande do Sul . O projeto gerou trezentos novos empregos diretos e pretende abastecer o mercado da América Latina .
7	8	-1	1	Uma multinacional de máquinas agrícolas inaugurou uma nova ala de montagem no Rio Grande do Sul . O projeto gerou trezentos novos empregos diretos e pretende abastecer o mercado da América Latina .
O consumo de energia elétrica na indústria cresceu pelo quarto mês consecutivo, sinalizando uma retomada firme das atividades fabris após o período de manutenção programada das grandes usinas.	9	0	0	O consumo de energia elétrica na indústria cresceu pelo quarto mês consecutivo , sinalizando uma retomada firme das atividades fabris após o período de manutenção programada das grandes usinas .
8	9	-1	1	O consumo de energia elétrica na indústria cresceu pelo quarto mês consecutivo , sinalizando uma retomada firme das atividades fabris após o período de manutenção programada das grandes usinas .
Consórcios de empresas privadas fecharam parcerias com universidades para criar centros de pesquisa voltados para a descarbonização industrial.	10	0	0	Consórcios de empresas privadas fecharam parcerias com universidades para criar centros de pesquisa voltados para a descarbonização industrial . O foco inicial será a substituição de combustíveis fósseis por hidrogênio verde .
O foco inicial será a substituição de combustíveis fósseis por hidrogênio verde.	10	1	0	Consórcios de empresas privadas fecharam parcerias com universidades para criar centros de pesquisa voltados para a descarbonização industrial . O foco inicial será a substituição de combustíveis fósseis por hidrogênio verde .
9	10	-1	1	Consórcios de empresas privadas fecharam parcerias com universidades para criar centros de pesquisa voltados para a descarbonização industrial . O foco inicial será a substituição de combustíveis fósseis por hidrogênio verde .
A produção industrial de calçados projeta um crescimento de 5% para as vendas de fim de ano.	11	0	0	A produção industrial de calçados projeta um crescimento de 5 % para as vendas de fim de ano . O aumento da eficiência produtiva e o design inovador ajudaram a conquistar novos mercados no exterior .
O aumento da eficiência produtiva e o design inovador ajudaram a conquistar novos mercados no exterior.	11	1	0	A produção industrial de calçados projeta um crescimento de 5 % para as vendas de fim de ano . O aumento da eficiência produtiva e o design inovador ajudaram a conquistar novos mercados no exterior .
10	11	-1	1	A produção industrial de calçados projeta um crescimento de 5 % para as vendas de fim de ano . O aumento da eficiência produtiva e o design inovador ajudaram a conquistar novos mercados no exterior .
A escassez de mão de obra qualificada em mecatrônica e automação tem preocupado os diretores de indústrias metalúrgicas.	12	0	0	A escassez de mão de obra qualificada em mecatrônica e automação tem preocupado os diretores de indústrias metalúrgicas . Empresas estão criando programas internos de treinamento para suprir a demanda .
Empresas estão criando programas internos de treinamento para suprir a demanda.	12	1	0	A escassez de mão de obra qualificada em mecatrônica e automação tem preocupado os diretores de indústrias metalúrgicas . Empresas estão criando programas internos de treinamento para suprir a demanda .
11	12	-1	1	A escassez de mão de obra qualificada em mecatrônica e automação tem preocupado os diretores de indústrias metalúrgicas . Empresas estão criando programas internos de treinamento para suprir a demanda .
O setor de celulose e papel anunciou a expansão de uma de suas maiores plantas industriais na região Centro-Oeste.	13	0	0	O setor de celulose e papel anunciou a expansão de uma de suas maiores plantas industriais na região Centro-Oeste . O investimento bilionário deve aumentar a capacidade de exportação do país .
O investimento bilionário deve aumentar a capacidade de exportação do país.	13	1	0	O setor de celulose e papel anunciou a expansão de uma de suas maiores plantas industriais na região Centro-Oeste . O investimento bilionário deve aumentar a capacidade de exportação do país .
12	13	-1	1	O setor de celulose e papel anunciou a expansão de uma de suas maiores plantas industriais na região Centro-Oeste . O investimento bilionário deve aumentar a capacidade de exportação do país .
Refinarias nacionais iniciaram testes para a produção em larga escala de biocombustíveis voltados para a aviação.	14	0	0	Refinarias nacionais iniciaram testes para a produção em larga escala de biocombustíveis voltados para a aviação . A transição energética abre um novo nicho de mercado para o parque industrial brasileiro .
A transição energética abre um novo nicho de mercado para o parque industrial brasileiro.	14	1	0	Refinarias nacionais iniciaram testes para a produção em larga escala de biocombustíveis voltados para a aviação . A transição energética abre um novo nicho de mercado para o parque industrial brasileiro .
