Token	POS-Tag	OOV	Id	Index	Documento
A	DET	0	1	0	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
produção	NOUN	0	1	1	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
industrial	ADJ	0	1	2	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
brasileira	ADJ	0	1	3	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
cresceu	VERB	0	1	4	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
1,5	NUM	1	1	5	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
%	SYM	0	1	6	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
no	ADP	0	1	7	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
primeiro	ADJ	0	1	8	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
trimestre	NOUN	1	1	9	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
de	ADP	0	1	10	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
2026	NUM	1	1	11	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
,	PUNCT	0	1	12	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
impulsionada	VERB	1	1	13	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
pelo	ADP	0	1	14	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
setor	NOUN	0	1	15	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
automotivo	ADJ	1	1	16	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
e	CCONJ	0	1	17	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
de	ADP	0	1	18	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
máquinas	NOUN	0	1	19	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
pesadas	VERB	0	1	20	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
.	PUNCT	0	1	21	A produção industrial brasileira cresceu 1,5 % no primeiro trimestre de 2026 , impulsionada pelo setor automotivo e de máquinas pesadas . O resultado superou as expectativas dos analistas de mercado .
